Package Name,Codeinterpreter Version,Latest Version,Summary
zopfli,0.2.2,0.2.2,Zopfli module for python
zipp,3.15.0,3.16.0,Backport of pathlib-compatible object wrapper for zip files
yarl,1.9.2,1.9.2,Yet another URL library
xml-python,0.4.3,0.4.3,A library for making Python objects from XML.
XlsxWriter,3.1.2,3.1.2,A Python module for creating Excel XLSX files.
xlrd,1.2.0,2.0.1,Library for developers to extract data from Microsoft Excel (tm) .xls spreadsheet files
xgboost,1.4.2,1.7.6,XGBoost Python Package
xarray,2023.1.0,2023.6.0,N-D labeled arrays and datasets in Python
xarray-einstats,0.5.1,0.5.1,"Stats, linear algebra and einops for xarray"
wsproto,1.2.0,1.2.0,WebSockets state-machine based protocol implementation
wrapt,1.15.0,1.15.0,"Module for decorators, wrappers and monkey patching."
wordcloud,1.8.1,1.9.2,A little word cloud generator
Werkzeug,2.3.6,2.3.6,The comprehensive WSGI web application library.
websockets,10.3,11.0.3,An implementation of the WebSocket Protocol (RFC 6455 & 7692)
websocket-client,1.6.1,1.6.1,WebSocket client for Python with low level API options
webencodings,0.5.1,0.5.1,Character encoding aliases for legacy web content
weasyprint,53.3,59.0,The Awesome Document Factory
wcwidth,0.2.6,0.2.6,Measures the displayed width of unicode strings in a terminal
watchfiles,0.19.0,0.19.0,"Simple, modern and high performance file watching and code reload in python."
wasabi,0.10.1,1.1.2,A lightweight console printing and formatting toolkit
Wand,0.6.11,0.6.11,Ctypes-based simple MagickWand API binding for Python
uvloop,0.17.0,0.17.0,Fast implementation of asyncio event loop on top of libuv
uvicorn,0.22.0,0.22.0,The lightning-fast ASGI server.
ujson,5.8.0,5.8.0,Ultra fast JSON encoder and decoder for Python
tzlocal,5.0.1,5.0.1,tzinfo object for the local timezone
typing-extensions,4.5.0,4.7.1,Backported and Experimental Type Hints for Python 3.7+
typer,0.4.2,0.9.0,"Typer, build great CLIs. Easy to code. Based on Python type hints."
trimesh,3.9.29,3.22.3,"Import, export, process, analyze and view triangular meshes."
traitlets,5.9.0,5.9.0,Traitlets Python configuration system
tqdm,4.64.0,4.65.0,"Fast, Extensible Progress Meter"
tornado,6.3.2,6.3.2,"Tornado is a Python web framework and asynchronous networking library, originally developed at FriendFeed."
torchvision,0.11.1,0.15.2,image and video datasets and models for torch deep learning
torchtext,0.6.0,0.15.2,Text utilities and datasets for PyTorch
torchaudio,0.10.0,2.0.2,An audio package for PyTorch
torch,1.10.0,2.0.1,Tensors and Dynamic neural networks in Python with strong GPU acceleration
toolz,0.12.0,0.12.0,List processing tools and functional utilities
tomli,2.0.1,2.0.1,A lil' TOML parser
toml,0.10.2,0.10.2,"Python Library for Tom's Obvious, Minimal Language"
tinycss2,1.2.1,1.2.1,A tiny CSS parser
tifffile,2023.7.4,2023.7.4,Read and write TIFF files
threadpoolctl,3.1.0,3.1.0,threadpoolctl
thinc,8.0.17,8.1.10,"A refreshing functional take on deep learning, compatible with your favorite libraries"
Theano-PyMC,1.1.2,1.1.2,Optimizing compiler for evaluating mathematical expressions on CPUs and GPUs.
textract,1.6.4,1.6.5,extract text from any document. no muss. no fuss.
textblob,0.15.3,0.17.1,"Simple, Pythonic text processing. Sentiment analysis, part-of-speech tagging, noun phrase parsing, and more."
text-unidecode,1.3,1.3,The most basic Text::Unidecode port
terminado,0.17.1,0.17.1,Tornado websocket backend for the Xterm.js Javascript terminal emulator library.
tenacity,8.2.2,8.2.2,Retry code until it succeeds
tabulate,0.8.9,0.9.0,Pretty-print tabular data
tabula,1.0.5,1.0.5,Ascii table
tables,3.6.1,3.8.0,Hierarchical datasets for Python
sympy,1.8,1.12,Computer algebra system (CAS) in Python
svgwrite,1.4.1,1.4.3,A Python library to create SVG drawings.
svglib,1.1.0,1.5.1,A pure-Python library for reading and converting SVG
statsmodels,0.12.2,0.14.0,Statistical computations and models for Python
starlette,0.25.0,0.28.0,The little ASGI library that shines.
stack-data,0.6.2,0.6.2,Extract data from python stack frames and tracebacks for informative displays
srsly,2.4.6,2.4.6,Modern high-performance serialization utilities for Python
SpeechRecognition,3.8.1,3.10.0,"Library for performing speech recognition, with support for several engines and APIs, online and offline."
spacy,3.1.7,3.6.0,Industrial-strength Natural Language Processing (NLP) in Python
spacy-legacy,3.0.12,3.0.12,Legacy registered functions for spaCy backwards compatibility
soupsieve,2.4.1,2.4.1,A modern CSS selector implementation for Beautiful Soup.
SoundFile,0.10.2,0.12.1,"An audio library based on libsndfile, CFFI and NumPy"
sortedcontainers,2.4.0,2.4.0,"Sorted Containers -- Sorted List, Sorted Dict, Sorted Set"
snuggs,1.4.7,1.4.7,Snuggs are s-expressions for Numpy
sniffio,1.3.0,1.3.0,Sniff out which async library your code is running under
smart-open,6.3.0,6.3.0,"Utils for streaming large files (S3, HDFS, GCS, Azure Blob Storage, gzip, bz2...)"
slicer,0.0.7,0.0.7,A small package for big slicing.
Shapely,1.7.1,2.0.1,Manipulation and analysis of geometric objects
shap,0.39.0,0.42.0,A unified approach to explain the output of any machine learning model.
sentencepiece,0.1.99,0.1.99,SentencePiece python wrapper
Send2Trash,1.8.2,1.8.2,"Send file to trash natively under Mac OS X, Windows and Linux"
semver,3.0.1,3.0.1,Python helper for Semantic Versioning (https://semver.org)
seaborn,0.11.2,0.12.2,Statistical data visualization
scipy,1.7.3,1.11.1,Fundamental algorithms for scientific computing in Python
scikit-learn,1.0,1.3.0,A set of python modules for machine learning and data mining
scikit-image,0.18.3,0.21.0,Image processing in Python
rpds-py,0.8.8,0.8.10,Python bindings to Rust's persistent data structures (rpds)
resampy,0.4.2,0.4.2,Efficient signal resampling
requests,2.31.0,2.31.0,Python HTTP for Humans.
reportlab,3.6.1,4.0.4,The Reportlab Toolkit
regex,2023.6.3,2023.6.3,"Alternative regular expression module, to replace re."
referencing,0.29.1,0.29.1,JSON Referencing + Python
rdflib,6.0.0,6.3.2,"RDFLib is a Python library for working with RDF, a simple yet powerful language for representing information."
rasterio,1.2.10,1.3.8,Fast and direct raster I/O for use with Numpy and SciPy
rarfile,4.0,4.0,RAR archive reader for Python
qrcode,7.3,7.4.2,QR Code image generator
pyzmq,25.1.0,25.1.0,Python bindings for 0MQ
pyzbar,0.1.8,0.1.9,Read one-dimensional barcodes and QR codes from Python 2 and 3.
PyYAML,6.0,6.0,YAML parser and emitter for Python
pyxlsb,1.0.8,1.0.10,Excel 2007-2010 Binary Workbook (xlsb) parser
PyWavelets,1.4.1,1.4.1,"PyWavelets, wavelet transform module"
pytz,2023.3,2023.3,"World timezone definitions, modern and historical"
pyttsx3,2.90,2.90,"Text to Speech (TTS) library for Python 2 and 3. Works without internet connection or delay. Supports multiple TTS engines, including Sapi5, nsss, and espeak."
python-pptx,0.6.21,0.6.21,Generate and manipulate Open XML PowerPoint (.pptx) files
python-multipart,0.0.6,0.0.6,A streaming multipart parser for Python
python-dotenv,1.0.0,1.0.0,Read key-value pairs from a .env file and set them as environment variables
python-docx,0.8.11,0.8.11,Create and update Microsoft Word .docx files.
python-dateutil,2.8.2,2.8.2,Extensions to the standard Python datetime module
pyth3,0.7,0.7,Python text markup and conversion
pytest,6.2.5,7.4.0,pytest: simple powerful testing with Python
pytesseract,0.3.8,0.3.10,Python-tesseract is a python wrapper for Google's Tesseract-OCR
pyswisseph,2.10.3.2,2.10.3.2,Python extension to the Swiss Ephemeris
pyshp,2.1.3,2.3.1,Pure Python read/write support for ESRI Shapefile format
pyprover,0.5.6,0.6.2,Resolution theorem proving for predicate logic in pure Python.
pyproj,3.5.0,3.6.0,Python interface to PROJ (cartographic projections and coordinate transformations library)
pyphen,0.14.0,0.14.0,Pure Python module to hyphenate text
PyPDF2,1.28.6,3.0.1,"A pure-python PDF library capable of splitting, merging, cropping, and transforming PDF files"
pyparsing,3.1.0,3.1.0,pyparsing module - Classes and methods to define and execute parsing grammars
pypandoc,1.6.3,1.11,Thin wrapper for pandoc.
PyNaCl,1.5.0,1.5.0,Python binding to the Networking and Cryptography (NaCl) library
PyMuPDF,1.19.6,1.22.5,Python bindings for the PDF toolkit and renderer MuPDF
pymc3,3.11.5,3.11.5,Probabilistic Programming in Python: Bayesian Modeling and Probabilistic Machine Learning with Theano
pyluach,2.2.0,2.2.0,A Python package for dealing with Hebrew (Jewish) calendar dates.
pylog,1.1,1.1,Python implementation of Prolog features.
pygraphviz,1.7,1.11,Python interface to Graphviz
Pygments,2.15.1,2.15.1,Pygments is a syntax highlighting package written in Python.
pydyf,0.7.0,0.7.0,A low-level PDF generator.
pydub,0.25.1,0.25.1,Manipulate audio with an simple and easy high level interface
pydot,1.4.2,1.4.2,Python interface to Graphviz's Dot
pydantic,1.8.2,2.0.2,Data validation using Python type hints
pycryptodome,3.18.0,3.18.0,Cryptographic library for Python
pycparser,2.21,2.21,C parser in Python
pycountry,20.7.3,22.3.5,"ISO country, subdivision, language, currency and script definitions and their translations"
py,1.11.0,1.11.0,"library with cross-python path, ini-parsing, io, code, log facilities"
pure-eval,0.2.2,0.2.2,Safely evaluate AST nodes without side effects
ptyprocess,0.7.0,0.7.0,Run a subprocess in a pseudo terminal
psutil,5.9.5,5.9.5,Cross-platform lib for process and system monitoring in Python.
pronouncing,0.2.0,0.2.0,A simple interface for the CMU pronouncing dictionary
prompt-toolkit,3.0.39,3.0.39,Library for building powerful interactive command lines in Python
prometheus-client,0.17.0,0.17.0,Python client for the Prometheus monitoring system.
proglog,0.1.10,0.1.10,"Log and progress bar manager for console, notebooks, web..."
priority,2.0.0,2.0.0,A pure-Python implementation of the HTTP/2 priority tree
preshed,3.0.8,3.0.8,Cython hash table that trusts the keys are pre-hashed
pooch,1.7.0,1.7.0,"""Pooch manages your Python library's sample data files: it automatically downloads and stores them in a local directory, with support for versioning and corruption checks."""
pluggy,1.2.0,1.2.0,plugin and hook calling mechanisms for python
plotnine,0.10.1,0.12.1,A Grammar of Graphics for Python
plotly,5.3.0,5.15.0,"An open-source, interactive data visualization library for Python"
platformdirs,3.8.0,3.8.1,"A small Python package for determining appropriate platform-specific dirs, e.g. a ""user data dir""."
pkgutil-resolve-name,1.3.10,1.3.10,Resolve a name to an object.
Pillow,8.3.2,10.0.0,Python Imaging Library (Fork)
pickleshare,0.7.5,0.7.5,Tiny 'shelve'-like database with concurrency support
